id,name,class,stream,amount
763,Aurthur,s4,south,$119847.71
764,Urban,s2,west,$164797.16
765,Sula,s4,alpha,$117551.99
766,Patricio,s1,south,$40456.01
767,Flemming,s2,south,$59668.14
768,Miranda,s4,north,$128386.52
769,Ronnie,s5,east,$88861.32
770,Reade,s1,west,$18851.22
771,Renard,s4,west,$89860.77
772,Sibbie,s5,east,$73302.42
773,Estele,s5,north,$30252.64
774,Culver,s2,east,$287743.56
775,Carlee,s2,south,$247757.66
776,Nikoletta,s3,east,$33197.21
777,Harrison,s2,alpha,$154299.09
778,Che,s3,south,$91221.78
779,Hermine,s2,west,$173995.75
780,Hagan,s2,west,$50831.36
781,Jeanne,s5,alpha,$262049.22
782,Finn,s3,south,$108925.59
783,Isaac,s3,east,$284514.06
784,Ailyn,s3,south,$227222.88
785,Jed,s5,north,$240036.13
786,Willie,s3,east,$286481.09
787,Eugenia,s3,south,$289589.25
788,Leonelle,s3,south,$198372.55
789,Cindi,s2,north,$49295.29
790,Maryjo,s2,alpha,$262937.70
791,Cybill,s1,east,$101149.59
792,Barb,s1,south,$145677.10
793,Dolf,s3,west,$142639.91
794,Dot,s2,west,$95777.22
795,Lauritz,s5,north,$166469.69
796,Georas,s1,north,$80263.65
797,Murielle,s3,east,$40112.67
798,Flossi,s5,south,$248153.91
799,Andra,s5,west,$118542.92
800,Celle,s4,east,$255140.10
801,Galvin,s1,north,$127144.63
802,Regine,s4,west,$185108.23
803,Ginevra,s2,west,$295671.92
804,Erskine,s5,east,$294531.04
805,Amabel,s2,east,$14732.93
806,Jasmine,s1,alpha,$21907.99
807,Gayle,s5,alpha,$204519.50
808,Reuben,s2,east,$29041.25
809,Neddy,s5,east,$150982.52
810,Jefferson,s5,south,$251143.65
811,Cornell,s3,east,$218277.92
812,Hayyim,s3,alpha,$279523.92
813,Roxane,s3,north,$162433.77
814,Constanta,s5,north,$171781.04
815,Rhodie,s4,north,$277399.72
816,Marylinda,s4,north,$220938.20
817,Pietro,s5,east,$43260.28
818,Marlin,s5,south,$163551.55
819,Winne,s1,east,$188880.88
820,Bastian,s4,north,$181991.04
821,Heddi,s1,north,$148768.99
822,Culley,s4,east,$285513.61
823,Diahann,s4,north,$239950.51
824,Othilie,s1,west,$113073.91
825,Tabina,s1,south,$220667.72
826,Gerri,s2,north,$194108.76
827,Clarke,s3,north,$190780.52
828,Nari,s1,north,$196712.16
829,Clair,s1,west,$235752.12
830,Celeste,s4,south,$205248.53
831,Meyer,s2,west,$155515.22
832,Obed,s2,west,$140452.79
833,Nikolaus,s5,west,$263908.69
834,Elna,s4,north,$282414.19
835,Aldric,s3,alpha,$134044.57
836,Elset,s1,south,$297517.35
837,Conway,s4,south,$288571.82
838,Neall,s2,alpha,$165902.85
839,Roger,s2,west,$93065.06
840,Ilse,s5,south,$106316.03
841,Robbyn,s5,east,$270549.42
842,Carson,s3,west,$267882.35
843,Christian,s5,north,$114630.72
844,Lanny,s2,east,$211659.94
845,Lane,s3,west,$181505.38
846,Sandy,s1,east,$218948.58
847,Marlena,s5,north,$56288.15
848,Jake,s4,north,$74184.97
849,Marya,s5,east,$229324.87
850,Bearnard,s1,south,$27298.10
851,Ricki,s1,north,$159270.01
852,Dorette,s1,alpha,$180390.60
853,Eartha,s4,south,$76745.39
854,Misha,s2,west,$258864.72
855,Barrie,s1,south,$134274.34
856,Ban,s4,alpha,$199372.55
857,Effie,s4,west,$171635.10
858,Jilleen,s1,alpha,$94852.00
859,Pepi,s2,north,$74219.98
860,Lara,s4,west,$255901.75
861,Adda,s1,south,$63133.37
862,Wiatt,s4,east,$180376.95
863,Farleigh,s3,south,$64682.50
864,Charlene,s1,south,$101086.31
865,Rickert,s3,west,$277870.36
866,Patton,s5,west,$221732.42
867,Helen,s4,south,$87512.09
868,Lane,s1,west,$199651.32
869,Willy,s3,west,$165112.34
870,Lucinda,s5,alpha,$52522.76
871,Toby,s5,west,$133884.36
872,Hayyim,s3,east,$236229.66
873,Esdras,s4,east,$286983.98
874,Karon,s2,north,$81426.67
875,Dennis,s3,north,$146913.90
876,Addi,s4,south,$190510.05
877,Codie,s2,east,$51296.32
878,Gayel,s2,south,$62328.65
879,Jarrid,s5,east,$70038.11
880,Blaine,s2,east,$249021.52
881,Meridel,s1,west,$205996.93
882,Sky,s4,alpha,$19828.10
883,Elena,s3,south,$167730.25
884,Nye,s3,north,$262809.47
885,Jada,s1,alpha,$215055.10
886,Gabriela,s5,west,$186890.76
887,Shaw,s3,north,$227734.77
888,Rycca,s2,west,$183414.17
889,Petunia,s4,west,$160177.87
890,Vina,s5,south,$140883.17
891,Willie,s2,south,$106652.91
892,Rakel,s2,east,$233679.84
893,Mollie,s3,south,$259516.46
894,Judy,s2,north,$215138.97
895,Julio,s2,alpha,$83861.54
896,Aurilia,s5,west,$174546.93
897,Jeni,s4,alpha,$136311.30
898,Teressa,s2,alpha,$280125.92
899,Bourke,s2,north,$161424.32
900,Jacintha,s1,alpha,$174425.72
901,Delphine,s5,south,$104462.74
902,Gabey,s5,west,$10555.30
903,Ernestus,s5,east,$210755.12
904,Sheena,s3,west,$32488.18
905,Augie,s2,alpha,$209454.65
906,Brice,s3,south,$276471.63
907,Corinna,s2,east,$277186.25
908,Arron,s2,east,$112885.37
909,Stacee,s1,west,$294068.29
910,Skelly,s1,east,$284496.15
911,Lou,s1,east,$297468.02
912,Gardner,s4,west,$231842.31
913,Hammad,s4,north,$236644.78
914,Nevsa,s2,west,$274653.62
915,Deerdre,s3,north,$28720.46
916,Sarge,s5,north,$169601.47
917,Amble,s4,south,$75046.52
918,Maryrose,s4,west,$289557.91
919,Jordan,s5,south,$185693.10
920,Dulce,s1,north,$66092.44
921,Wilma,s4,north,$125975.09
922,Lefty,s5,east,$242624.42
923,Zsazsa,s3,west,$40753.67
924,Arnuad,s5,north,$89929.85
925,Quentin,s5,south,$289856.80
926,Myrah,s5,alpha,$140299.03
927,Gwyn,s1,west,$164629.00
928,Traver,s4,south,$18039.17
929,Nissie,s4,south,$194608.93
930,Marylee,s4,east,$270934.09
931,Brittni,s4,east,$71680.94
932,Fraser,s5,alpha,$120005.85
933,Ezekiel,s2,alpha,$87638.94
934,Daryl,s4,north,$280958.31
935,Janina,s5,east,$142327.84
936,Lara,s2,north,$117103.29
937,Heinrick,s5,east,$255533.38
938,Thor,s5,west,$209108.19
939,Kriste,s2,north,$237671.41
940,Avigdor,s3,east,$219697.00
941,Huberto,s4,west,$147106.71
942,Kimbra,s5,alpha,$142707.92
943,Janeva,s1,alpha,$108492.97
944,Cathrine,s4,east,$49630.61
945,Toma,s5,alpha,$10044.25
946,Fulvia,s4,north,$226388.94
947,Adaline,s4,east,$14805.03
948,Aliza,s3,alpha,$232041.94
949,Emmey,s3,west,$199773.67
950,Colman,s4,south,$94932.02
951,Cyndi,s3,east,$248904.36
952,Maddy,s1,west,$266096.89
953,Zerk,s1,south,$95022.71
954,Tabbi,s5,south,$179830.17
955,Win,s2,south,$165028.53
956,Eugine,s5,west,$90066.26
957,Alard,s3,alpha,$50245.02
958,Natale,s3,south,$30918.09
959,Willie,s1,south,$99876.61
960,Osborne,s4,east,$215859.65
961,Hubert,s2,north,$212920.13
962,Hatty,s5,alpha,$62454.65
963,Orelie,s5,north,$136417.91
964,Cristiano,s5,alpha,$54637.28
965,Allyson,s1,alpha,$148998.63
966,Scarlett,s5,south,$26860.56
967,Laetitia,s3,alpha,$195696.16
968,Granny,s4,east,$180095.83
969,Hildagarde,s5,north,$262925.17
970,Luis,s1,south,$282559.89
971,Hieronymus,s3,west,$248239.17
972,Julie,s4,south,$198178.37
973,Siouxie,s3,south,$204215.73
974,Nerissa,s5,south,$18215.44
975,Akim,s4,alpha,$44577.76
976,Mellisa,s5,alpha,$223404.90
977,Danyette,s5,west,$208349.71
978,Kaile,s1,west,$177547.02
979,Kira,s2,north,$225291.48
980,Annis,s1,east,$64709.56
981,Valeda,s1,alpha,$26450.23
982,Zacherie,s4,south,$14656.30
983,Jolee,s1,south,$143744.64
984,Trev,s5,east,$132533.29
985,Marchall,s4,east,$243414.42
986,Elaina,s1,east,$168371.79
987,Trent,s5,east,$137777.35
988,Elton,s3,south,$57974.64
989,Kyle,s3,alpha,$41409.73
990,Edvard,s3,alpha,$226130.42
991,Burlie,s5,north,$125080.41
992,Raoul,s3,south,$52078.29
993,Blake,s4,south,$260018.03
994,Colas,s2,east,$165914.46
995,Earl,s5,north,$275465.10
996,Josey,s2,west,$170759.07
997,Demeter,s3,west,$225936.96
998,Tatum,s4,east,$232995.54
999,Bel,s3,west,$269181.58
1000,Johnathon,s3,alpha,$98398.51
